iter	Logloss
0	0.6902712805
1	0.6871578648
2	0.6847268211
3	0.6824087007
4	0.6800827567
5	0.6779731676
6	0.6760038841
7	0.6743666976
8	0.6727125984
9	0.6709552978
10	0.669330997
11	0.667920635
12	0.6668210278
13	0.6658418222
14	0.6648598554
15	0.6636680342
16	0.6621906546
17	0.6614857324
18	0.6607178194
19	0.6598295623
20	0.6592021851
21	0.6585217689
22	0.6576324188
23	0.6568806706
24	0.6558871987
25	0.6551928613
26	0.6544669997
27	0.6537494219
28	0.6531770394
29	0.6525602469
30	0.6521063101
31	0.6517074257
32	0.6512128181
33	0.6506766194
34	0.65016671
35	0.649557741
36	0.6490280427
37	0.6485769823
38	0.6481550299
39	0.6472787957
40	0.6468979744
41	0.6461021614
42	0.6459151447
43	0.6453123885
44	0.6451227257
45	0.6447391431
46	0.6441260898
47	0.6437349138
48	0.6427167633
49	0.6420282935
50	0.6414184041
51	0.6409048131
52	0.6404882106
53	0.6399703627
54	0.639476503
