iter	Passed	Remaining
0	62	31196
1	65	16287
2	68	11390
3	72	8972
4	74	7406
5	77	6412
6	80	5677
7	82	5100
8	85	4645
9	87	4278
10	89	3975
11	91	3733
12	93	3520
13	96	3338
14	98	3178
15	100	3040
16	102	2918
17	104	2811
18	107	2711
19	109	2624
20	111	2545
21	113	2471
22	115	2403
23	118	2340
24	121	2306
25	123	2255
26	125	2204
27	127	2157
28	130	2113
29	132	2071
30	134	2034
31	136	2001
32	139	1967
33	141	1935
34	143	1906
35	145	1879
36	148	1859
37	152	1849
38	154	1824
39	156	1798
40	158	1774
41	160	1751
42	162	1730
43	165	1712
44	167	1695
45	169	1677
46	172	1660
47	174	1645
48	177	1629
49	179	1613
50	181	1598
51	183	1584
52	186	1571
53	188	1557
54	190	1544
