Day,Date,Starting_Balance_USD,Daily_Trading_Profit_USD,Cash_Withdrawn_Today_USD,Retained_Trading_Balance_USD,Cumulative_Cash_Withdrawn_USD
1,2026-03-20,50.0,9849.11,2954.73,6944.38,2954.73
2,2026-03-21,6944.38,91273.24,45636.62,52581.0,48591.35
3,2026-03-22,52581.0,52920.0,37044.0,68457.0,85635.35
4,2026-03-23,68457.0,63112.5,44178.75,87390.75,129814.1
5,2026-03-24,87390.75,90795.75,63557.02,114629.48,193371.12
6,2026-03-25,114629.48,64471.5,45130.05,133970.93,238501.17
7,2026-03-26,133970.93,27237.75,19066.43,142142.25,257567.6
8,2026-03-27,142142.25,46645.5,32651.85,156135.9,290219.45
9,2026-03-28,156135.9,20912.25,14638.58,162409.57,304858.03
10,2026-03-29,162409.57,66705.0,46693.5,182421.07,351551.53
11,2026-03-30,182421.07,62499.75,43749.83,201170.99,395301.36
12,2026-03-31,201170.99,74865.75,52406.02,223630.72,447707.38
13,2026-04-01,223630.72,83989.5,58792.65,248827.57,506500.03
14,2026-04-02,248827.57,108878.25,76214.78,281491.04,582714.81
15,2026-04-03,281491.04,28221.0,19754.7,289957.34,602469.51
16,2026-04-04,289957.34,96083.25,67258.27,318782.32,669727.78
17,2026-04-05,318782.32,39710.25,27797.18,330695.39,697524.96
18,2026-04-06,330695.39,47090.25,32963.18,344822.46,730488.14
19,2026-04-07,344822.46,76406.25,53484.37,367744.34,783972.51
20,2026-04-08,367744.34,77031.75,53922.22,390853.87,837894.73
21,2026-04-09,390853.87,61673.25,43171.27,409355.85,881066.0
22,2026-04-10,409355.85,76813.5,53769.45,432399.9,934835.45
23,2026-04-11,432399.9,39724.5,27807.15,444317.25,962642.6
24,2026-04-12,444317.25,89908.5,62935.95,471289.8,1025578.55
25,2026-04-13,471289.8,79071.75,55350.23,495011.32,1080928.78
26,2026-04-14,495011.32,61597.5,43118.25,513490.57,1124047.03
27,2026-04-15,513490.57,59943.0,41960.1,531473.47,1166007.13
28,2026-04-16,531473.47,47520.75,33264.53,545729.69,1199271.66
29,2026-04-17,545729.69,64494.75,45146.32,565078.12,1244417.98
30,2026-04-18,565078.12,52150.5,36505.35,580723.27,1280923.33
31,2026-04-19,580723.27,36099.0,25269.3,591552.97,1306192.63
32,2026-04-20,591552.97,87833.25,61483.28,617902.94,1367675.91
33,2026-04-21,617902.94,66606.0,46624.2,637884.74,1414300.11
34,2026-04-22,637884.74,58292.25,40804.57,655372.42,1455104.68
35,2026-04-23,655372.42,64851.0,45395.7,674827.72,1500500.38
36,2026-04-24,674827.72,56274.0,39391.8,691709.92,1539892.18
37,2026-04-25,691709.92,85073.25,59551.27,717231.9,1599443.45
38,2026-04-26,717231.9,67203.75,47042.63,737393.02,1646486.08
39,2026-04-27,737393.02,68216.25,47751.38,757857.89,1694237.46
40,2026-04-28,757857.89,71992.5,50394.75,779455.64,1744632.21
41,2026-04-29,779455.64,23482.5,16437.75,786500.39,1761069.96
42,2026-04-30,786500.39,66864.0,46804.8,806559.59,1807874.76
43,2026-05-01,806559.59,16690.5,11683.35,811566.74,1819558.11
44,2026-05-02,811566.74,77917.5,54542.25,834941.99,1874100.36
45,2026-05-03,834941.99,35861.25,25102.88,845700.36,1899203.24
46,2026-05-04,845700.36,39714.75,27800.32,857614.79,1927003.56
47,2026-05-05,857614.79,28829.25,20180.48,866263.56,1947184.04
48,2026-05-06,866263.56,45501.75,31851.23,879914.08,1979035.27
49,2026-05-07,879914.08,82939.5,58057.65,904795.93,2037092.92
50,2026-05-08,904795.93,34855.5,24398.85,915252.58,2061491.77
51,2026-05-09,915252.58,70461.0,49322.7,936390.88,2110814.47
52,2026-05-10,936390.88,79360.5,55552.35,960199.03,2166366.82
53,2026-05-11,960199.03,72270.75,50589.53,981880.25,2216956.35
54,2026-05-12,981880.25,81069.75,56748.82,1006201.18,2273705.17
55,2026-05-13,1006201.18,65046.75,45532.73,1025715.2,2319237.9
56,2026-05-14,1025715.2,51878.25,36314.77,1041278.68,2355552.67
57,2026-05-15,1041278.68,31937.25,22356.07,1050859.86,2377908.74
58,2026-05-16,1050859.86,36649.5,25654.65,1061854.71,2403563.39
59,2026-05-17,1061854.71,57608.25,40325.77,1079137.19,2443889.16
60,2026-05-18,1079137.19,51051.0,35735.7,1094452.49,2479624.86
