day_num,date,start_balance,end_balance,day_pnl,withdrawn_today,cumulative_withdrawn,trades_count,wins,win_rate_pct,drawdown_pct
1,2025-01-21,60.0,76.38,16.38,0.0,0.0,5,3,60.0,13.5
2,2025-01-22,76.38,127.78,79.07,27.67,27.67,14,11,78.6,17.8
3,2025-01-23,127.78,148.12,31.3,10.96,38.63,11,7,63.6,14.9
4,2025-01-24,148.12,185.62,57.7,20.2,58.83,10,9,90.0,9.8
5,2025-01-27,185.62,216.53,47.56,16.65,75.48,9,6,66.7,17.3
6,2025-01-28,216.53,331.97,177.6,62.16,137.64,17,14,82.4,15.8
7,2025-01-29,331.97,343.55,17.82,6.24,143.88,8,6,75.0,12.8
8,2025-01-30,343.55,506.68,250.97,87.84,231.72,11,9,81.8,11.2
9,2025-01-31,506.68,504.91,-1.77,0.0,231.72,6,3,50.0,11.5
10,2025-02-03,504.91,517.69,19.66,6.88,238.6,6,3,50.0,9.2
11,2025-02-04,517.69,625.59,166.0,58.1,296.7,5,5,100.0,5.4
12,2025-02-05,625.59,618.92,-6.67,0.0,296.7,7,5,71.4,9.2
13,2025-02-06,618.92,637.12,28.0,9.8,306.5,0,0,0.0,6.5
14,2025-02-07,637.12,850.09,425.95,212.98,519.48,11,10,90.9,20.0
15,2025-02-10,850.09,928.35,120.4,42.14,561.62,8,6,75.0,12.7
16,2025-02-11,928.35,963.33,53.81,18.83,580.45,3,2,66.7,9.4
17,2025-02-12,963.33,984.58,42.49,21.24,601.69,4,3,75.0,7.4
18,2025-02-13,984.58,963.3,-21.28,0.0,601.69,6,4,66.7,9.4
19,2025-02-14,963.3,982.93,30.2,10.57,612.26,0,0,0.0,7.5
20,2025-02-17,982.93,992.82,19.78,9.89,622.15,4,2,50.0,6.6
21,2025-02-18,992.82,1072.17,158.69,79.34,701.49,5,2,40.0,7.7
22,2025-02-19,1072.17,979.29,-92.88,0.0,701.49,2,0,0.0,15.7
23,2025-02-20,979.29,1013.02,67.46,33.73,735.22,6,3,50.0,12.8
24,2025-02-21,1013.02,1036.63,47.23,23.62,758.84,6,4,66.7,10.8
25,2025-02-24,1036.63,1061.13,49.0,24.5,783.34,1,1,100.0,8.7
26,2025-02-25,1061.13,1009.73,-51.4,0.0,783.34,2,1,50.0,13.1
27,2025-02-26,1009.73,1135.9,252.34,126.17,909.51,9,8,88.9,13.4
28,2025-02-27,1135.9,1196.16,120.52,60.26,969.77,4,3,75.0,8.8
