ticket_id,symbol,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,risk_pts,reward_pts,rr_realized,realized_pnl,is_win,exit_reason,holding_bars,mae_pts,mfe_pts,session_window,htf_bias,sweep_side,sweep_penetration_pips,displacement_ratio,fvg_size_atr,dealing_range_coordinate,planned_rr,atr_14,laya_authorized,laya_regime,laya_grade,laya_probability
4447,XAUUSD,2020-08-31 14:07:00+00:00,2020-08-31 14:08:00+00:00,SHORT,1974.66,1974.58,1975.19,1974.58,0.15,0.2,0.41,0.4,1.23,1,TP_HIT,1,0.0,4.97,NY_AM,BEARISH,BUY_SIDE,0.1,4.11,0.84,0.998,2.0,1.29,1,TRENDING_ORDERFLOW,3,0.972
7276,XAUUSD,2020-09-02 13:16:00+00:00,2020-09-02 13:18:00+00:00,SHORT,1969.38,1965.0,1973.94,1961.22,0.11,4.24,8.48,1.03,48.12,1,WATERMARK_LOCK,2,0.0,5.38,NY_AM,BEARISH,BUY_SIDE,0.1,6.4,6.05,0.577,2.0,0.88,1,TRENDING_ORDERFLOW,2,0.941
37240,XAUUSD,2020-09-23 08:40:00+00:00,2020-09-23 08:45:00+00:00,LONG,1886.26,1889.0,1882.55,1892.72,0.11,3.39,6.78,0.81,30.08,1,WATERMARK_LOCK,5,0.0,3.51,LONDON_OPEN,BULLISH,SELL_SIDE,0.9,3.22,4.05,0.455,2.0,1.19,1,NORMAL_EXPANSION,2,0.9
96656,XAUUSD,2020-11-03 14:56:00+00:00,2020-11-03 14:58:00+00:00,SHORT,1913.82,1910.18,1916.14,1910.18,0.3,1.98,3.97,1.84,109.35,1,TP_HIT,2,0.0,6.06,NY_AM,BEARISH,BUY_SIDE,3.7,3.61,4.56,0.637,2.0,0.9,1,TRENDING_ORDERFLOW,3,0.921
102491,XAUUSD,2020-11-07 16:11:00+00:00,2020-11-07 16:12:00+00:00,SHORT,1962.34,1961.09,1963.46,1961.09,0.3,0.79,1.58,1.59,37.75,1,TP_HIT,1,0.0,5.75,NY_AM,BEARISH,BUY_SIDE,6.6,7.91,0.82,0.899,2.0,0.74,1,TRENDING_ORDERFLOW,3,0.953
109336,XAUUSD,2020-11-12 10:16:00+00:00,2020-11-12 10:17:00+00:00,SHORT,1884.68,1883.27,1885.87,1883.27,0.6,0.87,1.73,1.62,84.46,1,TP_HIT,1,0.0,2.67,LONDON_OPEN,BEARISH,BUY_SIDE,0.9,2.81,0.29,0.898,2.0,1.84,1,TRENDING_ORDERFLOW,3,0.937
109500,XAUUSD,2020-11-12 13:00:00+00:00,2020-11-12 13:05:00+00:00,SHORT,1886.3,1886.71,1886.71,1886.47,0.6,0.08,0.16,-5.12,-24.24,0,SL_HIT,5,0.49,0.0,NY_AM,BEARISH,BUY_SIDE,2.3,6.22,1.35,0.96,2.0,0.19,1,TRENDING_ORDERFLOW,3,0.974
116340,XAUUSD,2020-11-17 07:00:00+00:00,2020-11-17 07:01:00+00:00,LONG,1901.4,1901.35,1900.93,1901.35,0.6,0.14,0.28,-0.31,-2.63,0,TP_HIT,1,0.0,1.56,LONDON_OPEN,BULLISH,SELL_SIDE,11.7,5.58,4.09,0.046,2.0,0.34,1,TRENDING_ORDERFLOW,3,0.969
116723,XAUUSD,2020-11-17 13:23:00+00:00,2020-11-17 13:25:00+00:00,LONG,1900.94,1902.34,1896.92,1908.02,0.46,3.7,7.4,0.38,64.17,1,WATERMARK_LOCK,2,0.94,5.63,NY_AM,BULLISH,SELL_SIDE,1.1,3.02,0.53,0.415,2.0,1.61,1,TRENDING_ORDERFLOW,2,0.839
117828,XAUUSD,2020-11-18 07:48:00+00:00,2020-11-18 07:53:00+00:00,LONG,1890.4,1890.6,1888.55,1893.14,0.6,1.53,3.06,0.13,12.0,1,SL_HIT,5,0.21,2.05,LONDON_OPEN,BULLISH,SELL_SIDE,8.0,3.91,4.13,0.378,2.0,0.6,1,TRENDING_ORDERFLOW,3,0.901
